fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note,punteggio
,Ristoranti/Pizzerie,Varese,Tana D'Orso,"Via Mottarone, 43- 21100 Varese (VA)",0332 320392,http://www.ristorantetanadorso.it/,"Ristorante elegante in Borgo Mustonate (Varese) con 150 coperti, specializzato in cucina lombarda e piemontese. Dispone di due piani, sale per eventi e matrimoni, giardino. Cucina professionale diretta da chef. Alti consumi energetici per climatizzazione e cucina.",Location eventi con oltre 150 coperti e climatizzazione estensiva: target ideale per efficienza energetica e risparmio.,8
,Ristoranti/Pizzerie,Varese,Volo a Vela,"Lungo Lago, 45- 21100 Varese (VA)","0332 310170, 338 3480080",https://www.ristorantevoloavela.it/,"Ristorante con pizzeria sul Lago di Varese, 150 coperti interni + 100 terrazza, specializzato in cerimonie e banchetti. Forno a legna, cucina mediterranea. Climatizzazione estesa, consumi energetici alti.",Location eventi con 250 copetti e forno a legna: forte candidato per audit energetico su climatizzazione e cottura.,8
,Ristoranti/Pizzerie,Somma Lombardo,Ristorante Il Cervo - Malpensa,"Via De Pinedo, 1- 21019 Somma Lombardo (VA)","0331 230821, 0331 230274",https://www.hotelcervo.it/,"Hotel e ristorante a 1 km da Malpensa con navetta aeroporto. 52 camere, cucina casalinga, bar. Climatizzazione camere, refrigeration cucina, lavanderia. Consumi energetici alti per struttura alberghiera.",Hotel con ristorante e navetta: alti consumi per climatizzazione e lavanderia. Target valido.,8
,Ristoranti/Pizzerie,Somma Lombardo,Birrificio Settimo,"Via Monte Rosa, 33- 21040 Carnago (VA)",0331 160 2020,http://www.birrificiosettimo.it/,"Birrificio artigianale e pub a Somma Lombardo dal 2010. Produce tre linee di birra, offre pizze e cucina. Attrezzatura per produzione birra (consumo elettrico e termico significativo), cucina. Consumi energetici medio-alti.",Birrificio con produzione interna: alti consumi per processo produttivo. Target molto interessante.,8
,Ristoranti/Pizzerie,Cassano Magnago,Ilario Vinciguerra,"Via Roma, 1 - 21013 Gallarate (VA)",0331 791597,https://www.ilariovinciguerra.it/,"Ristorante fine dining dello chef Ilario Vinciguerra a Cassano Magnago, con cucina in evoluzione e menu che cambia ogni due mesi. Ambiente elegante con selezione di vini.",Ristorante di alta gamma con cucina energy-intensive. Potenziale cliente per efficienza e illuminazione LED. Chiamare in orario tranquillo.,8
,Ristoranti/Pizzerie,Cassano Magnago,Ristorante Idea Verde,"Via San Francesco, 19 - 21057 Olgiate Olona (VA)",0331 629487,http://www.ristoranteideaverde.it/,"Ristorante Idea Verde a Cassano Magnago, 25+ anni di attività, specializzato in pesce con business lunch nei feriali. Location con 3 sale, dehor estivo e parcheggio privato.",Attività consolidata con volumi importanti. Ideale per proposta di audit energetico su cucina e climatizzazione.,8
,Ristoranti/Pizzerie,Cantu,Tiporto,"Via Milano, 71- 22063 Cantù (CO)",039 5964844,http://www.tiportorestaurant.com/,"Tiporto restaurant a Monza e Cantù, concept marinara con asta del pesce. Ambiente a tema mare, pesce freschissimo, fritto misto servito a metraggio.",Concept originale e molto frequentato. Consumi elevati per refrigerazione pesce. Cliente ideale per audit energetico.,8
,Ristoranti/Pizzerie,Cantu,Cassina Pelada,"Cascina Pelada, 115 - 22063 Cantù (CO)",031 706735,http://www.cassinapelada.com/,"Cassina Pelada a Cantù, ristorante per matrimoni e ricevimenti da oltre 50 anni. Ampia struttura con parco, patio, sale. Specializzato in eventi e cerimonie.",Location per eventi con alti consumi stagionali. Cliente ideale per efficienza climatizzazione e illuminazione. Chiamare in bassa stagione.,8
,Ristoranti/Pizzerie,Cantu,Pasticceria Bar Gelateria Farina,"Via Matteotti Giacomo, 12 - 22063 Cantù (CO)",031 714214,https://www.gourmetfarina.it/,"Pasticceria Bar Gelateria Farina a Cantù, con due sedi. Produzione artigianale di pasticceria, gelato, caffè torrefatto, pane e pizza. Storico locale con laboratorio.",Produzione artigianale = energia per refrigerazione e cottura. Potenziale per efficienza laboratorio. Due sedi = doppia opportunità.,8
,Ristoranti/Pizzerie,Cantu,Toyo Sushi,"Via Nazario Sauro, 1 - 22073 Fino Mornasco (CO)",328 5812954,https://www.facebook.com/TOYOCAGLIARI/,"Hotel Ristorante Cavour a Lomazzo, hotel con ristorante. Struttura ricettiva completa.",Hotel + ristorante = consumi elevati e diversificati. Cliente ideale per audit energetico completo. Chiamare direzione.,8
,Ristoranti/Pizzerie,Mariano Comense,Makai Uramakeria,"Via Roma, 19 - 20821 Meda (MB)",328 4032942,https://www.makaiuramakeria.it/,"Makai Uramakeria, catena con sedi a Busto Arsizio, Meda, Saronno. Uramakeria tropicale con 82 tipi di uramaki. Concept innovativo.",Catena multi-sede in crescita. Consumi refrigerazione e illuminazione. Ideale per proposta gruppo su efficienza.,8
,Ristoranti/Pizzerie,Olgiate Comasco,Sushinfinity/Inifnity,"Via Cesare Battisti, 69 - 21043 Castiglione Olona (VA)",0331 804987,https://www.sushinfinity.com/,"Sushinfinity a Olgiate Comasco, sushi all-you-can-eat con menù fisso feriale 12€. Sala moderna con area giochi, ordinazione da tablet. Aperto anche pranzo.",Sushi AYCE con volumi elevati e refrigerazione intensiva. Buon potenziale per efficienza catena freddo. Prezzi competitivi = sensibilità costi.,8
,Ristoranti/Pizzerie,Stresa,Il Verbano,"Via Ugo Ara, 2- 28838 Stresa (VB)",333 3842535,https://ilverbano.com/,"Il Verbano a Stresa - Isola dei Pescatori, albergo ristorante stellato chef Marco Sacco (2 stelle Michelin). Cucina di lago di alta gamma.","Ristorante stellato di altissimo livello. Cliente premium con budget per efficienza. Approccio consulenziale, non commerciale.",8
,Ristoranti/Pizzerie,Erba,Doppio Malto Erba,"Via Milano, 9, 22036 Erba CO, Italia",031 333 4187,https://www.doppiomalto.com/it/ristoranti/erba/,"Doppio Malto Erba fa parte della catena di birrerie/ristoranti con produzione propria di birra artigianale e cucina alla griglia. Locale con alta affluenza, posizionato su un target giovane e dinamico. Il processo produttivo della birra richiede energia elettrica e termica costante.","Contattare al 031 333 4187. Proporre un'analisi dei consumi per attività con produzione artigianale interna, evidenziando le agevolazioni per imprese energivore medio-piccole. Confronto con offerte attuali della catena.",8
,Ristoranti/Pizzerie,Olgiate Comasco,La Pioppa,"Via per Casarico, 7, 22079 Villa Guardia CO, Italia",031 470089,https://agriturismolapioppa.it/,"Agriturismo La Pioppa a Olgiate Comasco è un agriturismo con ristorante, fattoria didattica, alloggi e organizzazione eventi/matrimoni. Struttura immersa nel verde con consumi elevati per accoglienza turistica.",Tel 031 470089. Evitare ore pasto (12-14.30 e 19-21). Proporre energia verde certificate RECS per target sensibile all'ambiente.,8
,Ristoranti/Pizzerie,Olgiate Comasco,ROADHOUSE RESTAURANT OLGIATE COMASCO,"Via Roma, 116, 22077 Olgiate Comasco CO, Italia",031 942076,http://www.roadhouse.it/,"ROADHOUSE RESTAURANT OLGIATE COMASCO è un noto brand di steakhouse in franchising con ampia offerta di carne alla griglia. Locale molto frequentato, promozioni settimanali e app dedicata.",Tel 031 942076. Il contratto energia è gestito probabilmente dalla sede centrale della catena. Verificare se il singolo punto vendita ha autonomia.,8
,Ristoranti/Pizzerie,Arona,RISTORANTE & HOTEL PIROSCAFO LOMBARDIA 1908 ARONA,"Corso Repubblica, SNC, 28041 Arona NO, Italia",342 169 7226,https://piroscafolombardia1908.it/,RISTORANTE & HOTEL PIROSCAFO LOMBARDIA 1908 ARONA è una struttura storica con ristorante e hotel che richiama il celebre piroscafo del Lago Maggiore. Location iconica con forte potenziale turistico e consumi energetici rilevanti.,"Tel 342 169 7226. Struttura storica e iconica. Proposta per hotel con ristorante: dual fuel, efficienza energetica.",8
,Ristoranti/Pizzerie,Laveno Mombello,Funivie del Lago Maggiore,"Via Don C. Tinelli, 15, 21014 Laveno-Mombello VA, Italia",0332 668012,http://www.funiviedellagomaggiore.it/,Funivie del Lago Maggiore a Laveno Mombello è l'impianto di risalita con punto ristoro. Consumi energetici elevati per l'impianto funiviario.,Tel 0332 668012. Gestione impianto a fune. Contratto energia per infrastrutture.,8
,Ristoranti/Pizzerie,Varese,Mareamore,"Via Parini Giuseppe, 61- 21100 Varese (VA)",375 8092368,https://ristorantemareamore.it/,"Ristorante di pesce a Varese con area bimbi, ingredienti freschi e atmosfera familiare. Dispone di cucina professionale con attrezzature per pesce, celle frigorifere e forni. Potenziali consumi medio-alti per refrigeration e cottura.",Il pesce fresco richiede catene del freddo costanti: possiamo proporre audit energetico su refrigeration e cottura per tagliare costi.,7
,Hotel/B&B,Varese,I Palazzi - Palace Grand Hotel Varese,"Via Manara Luciano, 11, 21100 Varese VA, Italia",0332 327100,https://www.palacevarese.com/,"Palace Grand Hotel Varese, struttura alberghiera di prestigio. Consumo energetico elevato per camere, ristorante, lavanderia, riscaldamento e climatizzazione. Albergo di categoria superiore con servizi completi.",Grande potenziale energy. Richiedere referente facility management. Proporre audit energetico gratuito per hotel.,9
,Hotel/B&B,Saronno,Fiera Milano,"Via San Bernardo, 74 - 20017 Rho (MI)",02 49977179,http://www.fieramilano.it/,"Ente fieristico con grandi spazi espositivi, illuminazione e climatizzazione. Consumi energetici enormi.",Cliente istituzionale di altissimo profilo. Necessita contatto commerciale dedicato.,8
,Hotel/B&B,Varese,UNAHOTELS Varese,"Via Francesco Albani, 73, 21100 Varese VA, Italia",0332 466001,https://www.unaitalianhospitality.com/it/soggiorni/una-hotels-varese,"UNAHOTELS Varese, catena alberghiera nazionale con consumi energetici standardizzati. Appartiene a gruppo con possibile gestione centralizzata energia.",Decisione energy probabilmente centralizzata. Chiedere se trattano a livello locale o gruppo.,8
,Hotel/B&B,Varese,Villa Cagnola,"Via Guido, Via Cagnola, 21, 21045 Gazzada Schianno VA, Italia",0332 161 4000,http://villacagnola.it/,"Villa Cagnola a Varese, dimora storica con servizi ricettivi di prestigio. Immobile di grandi dimensioni con consumi energetici significativi per riscaldamento e climatizzazione.",Edificio storico = consumi termici elevati. Ideale per efficienza energetica e fonti rinnovabili.,8
,Hotel/B&B,Saronno,Hotel Cyrano,"Via IV Novembre, 11/13, 21047 Saronno VA, Italia",02 2556 5077,https://www.hotelcyranosaronno.com/,"Hotel Cyrano a Saronno, hotel 4 stelle in centro con interni eleganti e raffinati. Servizi per viaggiatori business. Consumo energetico medio-alto.",4 stelle = standard alto. Proporre energia premium con servizi di consulenza.,8
,Hotel/B&B,Gavirate,HOTEL RISTORANTE CORONA,"Largo Cappia, 6, 21030 Cuvio VA, Italia",0332 624150,http://www.hotelcoronacuvio.com/,"Hotel Ristorante Corona a Cuvio (classificato Gavirate). Storica struttura a conduzione familiare con 33 camere, ristorante, giardino e sale eventi. Gestito da 3 generazioni dalla famiglia Sartorio. Consumi energetici elevati per camere, ristorante e riscaldamento.","Struttura grande, famiglia = decisione rapida. Chiedere consumo annuo e contratto attuale.",8
,Hotel/B&B,Gavirate,Hotel Ristorante la Bussola,"Via G. Marconi, 28, 21033 Cittiglio VA, Italia",0332 602291,https://www.labussolaristorante.it/,"Hotel Ristorante la Bussola a Cittiglio (classificato Gavirate). Hotel con 28 camere e ristorante gourmet, gestione familiare da 3 generazioni. Cucina tradizionale emiliana e piemontese. Consumi doppi.",Grande struttura familiare. Ristorante rinomato = buon potenziale. Proporre pacchetto energia+gas.,8
,Hotel/B&B,Somma Lombardo,ZEUS Essence Dolce by Wyndham MIlan Malpensa,"Via Giuseppe Mazzini, 63, 21019 Somma Lombardo VA, Italia",0331 166 0300,https://www.zeusintl.com/zeus-essence-dolce-milan-malpensa,"Hotel 4 stelle vicino Malpensa, 100+ camere, ristorante, bar, sale meeting. Parte del gruppo Zeus Hotels.",Grande struttura alberghiera con consumi elevatissimi. Audit su climatizzazione e ACS.,8
,Hotel/B&B,Erba,Hotel Leonardo Da Vinci,"Via Leonardo Da Vinci, 6, 22037 Erba CO, Italia",031 611556,https://www.hotelleonardodavinci.com/,"Hotel Leonardo Da Vinci a Erba. Hotel 4 stelle con ristorante Il Cenacolo, centro congressi e lounge bar. Posizione strategica tra Como e Lecco, vicino Lariofiere. Consumi energetici elevati.",4 stelle con congressi = consumi alti e prevedibili. Buon potenziale. Chiedere facility manager.,8
,Hotel/B&B,Erba,Albergo Ristorante Sala - Spa,"Via Vittorio Veneto, 21, 22039 Valbrona CO, Italia",031 661023,http://albergosala.com/,"Albergo Ristorante Sala - Spa a Erba. Albergo con ristorante e SPA. Consumi elevati per SPA, piscina, riscaldamento e ristorazione.",SPA = consumi altissimi termici ed elettrici. Ottimo potenziale per consulenza energy.,8
,Hotel/B&B,Verbania,Hotel Intra,"Corso Goffredo Mameli, 133, 28921 Verbania VB, Italia",0323 581393,http://www.verbaniahotel.it/,"Hotel Intra a Verbania. Hotel 3 stelle superiore affacciato sul lago, storico dal 1879 gestito da 3 generazioni. 40 camere, sala colazione con vista lago, biciclette per ospiti. Consumi elevati.",Hotel storico con lago = consumi significativi. Famiglia Garlandini = decisione diretta. Buon potenziale.,8
,Hotel/B&B,Stresa,Hotel Royal Stresa,"Viale Lido, 1, 28838 Stresa VB, Italia",327 779 7813,http://www.hotelroyalstresa.com/,"Hotel Royal Stresa a Stresa. Villa d'epoca con piscina, parco, vista Isole Borromee. Eleganza classica con lampadari Murano. Consumi elevatissimi per piscina, riscaldamento e servizi luxury.",Hotel di lusso con piscina = consumi alti. Proporre consulenza energy per hotel premium.,8
,Hotel/B&B,Varese,N Restaurant,"Via al Campo, 99 - 21010 Cardano al Campo (VA)",0331 266611,http://www.premiatagnoccheriarisotteria.com/,Ristorante tradizionale italiano a Varese e Cantello. Specializzato in gnocchi fatti in casa e risotti. Pane con lievito madre.,Due sedi = doppio consumo. Cucina tradizionale con fornelli e forni.,7
,Hotel/B&B,Como,Casa Bianca Apartments,"Via Antelami Benedetto, 8 - 22100 Como (CO)",031 5161,https://www.kkresortapartments.com/,"Resort con appartamenti di lusso sul Lago di Como, piscina, SPA, ristorante Michelin. Centro benessere con sauna e bagno turco.","Target alto profilo: resort con consumi elevati per SPA, piscina e climatizzazione. Audit completo.",7
,Hotel/B&B,Arona,Ristoranti,"Via Verbano, 1 - 28041 Arona (NO)","0322 249321, 0322 249321",https://www.vecchiaarona.it/,"Ristorante sul lungolago di Arona. Chef Carbonati. Cucina di pesce, materie prime locali.",Ristorante professionale. Audit su consumi cucina.,7
,Hotel/B&B,Arona,Albergo Rist. San Carlo S.a.s. di Spina Luca e C,"Via Marconi, 11 - 28010 Nebbiuno (NO)",0322 215605,https://www.hotelristorantesancarlo.com/,"Hotel ristorante sul Lago Maggiore ai piedi della Statua di San Carlo. Ristorante, camere vista lago. Dal 1932, ristrutturato.",Hotel + ristorante: doppio consumo. Audit su climatizzazione e cucina professionale.,7
,Hotel/B&B,Varese,Stay Hotel,"Via Gallarate, 2, 21020 Brunello VA, Italia",0332 870056,https://www.stay-hotel.it/,"Stay Hotel a Varese, struttura ricettiva moderna. Consumi energetici per camere e servizi comuni. Posizionato per turismo business.",Contattare per offerta energia alberghiera. Valutare orari migliori per chiamata.,7
,Hotel/B&B,Varese,Bis Hotel Varese,"Via Franco Ossola, 21100 Varese VA, Italia",0332 181 0166,http://www.bishotelvarese.it/,"Bis Hotel Varese, struttura moderna 3-4 stelle con servizi per business e turismo. Consumo energetico medio-alto.",Chiamare per offerta energia alberghiera. Valutare referente acquisti.,7
,Hotel/B&B,Varese,Vecchia Riva | Hotel e Ristorante,"Via Giovanni Macchi, 146, 21100 Varese VA, Italia",0332 329300,http://www.vecchiariva.com/,"Vecchia Riva Hotel e Ristorante a Varese, struttura con ristorante annesso. Doppio consumo energetico: camere + cucina professionale.",Ospitalità + ristorazione = doppia opportunità. Offrire pacchetto energia integrato.,7
,Hotel/B&B,Varese,Art Hotel,"Viale Padre G. B. Aguggiari, 26, 21100 Varese VA, Italia",0332 214000,http://www.arthotelvarese.it/,"Art Hotel a Varese, hotel di design con servizi per turismo business e leisure. Consumi energetici medi per categoria alberghiera.",Target medio-alto. Proporre energia verde / sostenibile per allineamento brand.,7
,Hotel/B&B,Varese,BelSorrisoVarese - Boutique Hotel & Residence,"Piazza Biroldi, 8, 21100 Varese VA, Italia",342 189 5829,http://www.belsorrisovarese.it/,BelSorrisoVarese - Boutique Hotel & Residence. Struttura di categoria superiore con residence annesso. Consumo energetico elevato per servizi di qualità.,Boutique hotel = attenzione a servizio e dettaglio. Proporre consulenza energetica personalizzata.,7
,Hotel/B&B,Gallarate,Hotel D120,"Via Armando Diaz, 120, 21057 Olgiate Olona VA, Italia",0331 635115,https://www.hoteld120.com/,"Hotel D120 a Gallarate, hotel moderno posizionato per business. Consumo energetico medio-alto con servizi per viaggiatori d'affari.",Business hotel = consumi continui. Proporre soluzione energia + servizi connectivity.,7
,Hotel/B&B,Gallarate,MO.OM Hotel,"Via S. Francesco D'Assisi, 15, 21057 Olgiate Olona VA, Italia",0331 327511,https://www.moomhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,"MO.OM Hotel a Gallarate, struttura contemporanea con design moderno. Consumi energetici per camere e aree comuni.",Hotel moderno = attento a innovazione. Proporre energia green come valore aggiunto.,7
,Hotel/B&B,Gallarate,"Jet Hotel, Sure Hotel Collection by Best Western","Via Tiro a Segno, 22, 21013 Gallarate VA, Italia",0331 772100,http://www.jethotel.com/,"Jet Hotel, Sure Hotel Collection by Best Western a Gallarate. Appartiene a catena internazionale Best Western con standard energetici di gruppo.",Best Western = decisioni centralizzate. Verificare se acquisti energia gestiti a livello corporate.,7
,Hotel/B&B,Gallarate,AER HOTEL MALPENSA,"Via Gallarate, 35, 28047 Oleggio NO, Italia",0321 960253,https://www.aerhotelmalpensa.it/,"AER HOTEL MALPENSA a Gallarate, hotel posizionato per viaggiatori aeroportuali. Consumo energetico medio-alto con servizi 24h.",Operatività 24h = consumi continui. Ideale per proposta energia flat.,7
,Hotel/B&B,Busto Arsizio,Tower hotel Busto Arsizio - Malpensa,"Via Magenta, 14, 21052 Busto Arsizio VA, Italia",0331 160 2600,http://www.towerhotelbustoarsizio.it/,Tower hotel Busto Arsizio - Malpensa. Hotel moderno posizionato per viaggiatori Malpensa e business. Consumi energetici medio-alti.,Hotel business = consumi prevedibili. Proporre soluzione energia con prezzo fisso.,7
,Hotel/B&B,Busto Arsizio,Albergo Ristorante Roma,"Via Roma, 86, 20025 Legnano MI, Italia",0331 546091,http://www.albergoromalegnano.it/,"Albergo Ristorante Roma a Legnano (classificato Busto Arsizio), struttura con 22 camere e ristorante, a conduzione familiare. Posizione strategica vicino stazione e autostrade. Consumi doppi per camere e cucina professionale.",Familiare = decisione rapida. Chiedere referente acquisti. Proporre pacchetto energia + gas.,7
,Hotel/B&B,Saronno,Starhotels Grand Milan,"Via Varese, 23, 21047 Saronno VA, Italia",02 963631,https://www.starhotels.com/it/i-nostri-hotel/grand-milan-saronno/,"Starhotels Grand Milan a Saronno. Hotel 4 stelle vicino stazione, ben collegato a Malpensa. Catena alberghiera nazionale con contratti energia strutturati.",Catena medio-grande. Verificare se acquisti energia sono centralizzati o locali.,7
,Hotel/B&B,Saronno,UNA Hotels Malpensa,"Via F. Turati, 84, 20023 Cerro Maggiore MI, Italia",0331 513111,https://www.unaitalianhospitality.com/it/soggiorni/una-hotels-malpensa,UNA Hotels Malpensa (classificato Saronno). Catena UNA con posizione aeroportuale. Consumo energetico elevato per operatività continua.,Catena nazionale. Verificare autonomia decisionale locale acquisti energia.,7
,Hotel/B&B,Tradate,Golf Hotel La Pinetina,"Via al Golf, 4, 22070 Appiano Gentile CO, Italia",031 930931,https://golfpinetina.it/?page_id=13623,"Golf Hotel La Pinetina a Tradate. Hotel con campo da golf, consumi energetici elevati per manutenzione aree verdi e strutture ricettive.",Golf = stagionalità e consumi irrigazione. Proporre soluzione energia + gas.,7
,Palestre,Varese,20hours Gyms - Club Como,"Via Ciceri Teresa, 23 - 22100 Como (CO)","031 2249345, 331 1305498",https://www.pentafit.it/palestre/club-como,"Icesport Varese ASD, associazione pattinaggio su ghiaccio. Palestra.",Pista di ghiaccio = consumi ENORMI per refrigerazione. Potenziale altissimo per efficienza. Cliente ideale per audit energetico industriale.,9
,Palestre,Lomazzo,Fitland - Societa' Sportiva Dilettantistica a Responsabilita' Limitata,"Via Tasso T., 8 - 20825 Barlassina (MB)","0362 585582, 0362 569049, 0362 569034",http://www.fitlandcenter.it/,"Fitland SSD a Lomazzo, centro fitness con palestra, piscina, area spa, corsi. Più di una palestra: 500+ mq, 50h/settimana corsi.","Centro fitness completo con piscina e spa = consumi ALTISSIMI. Cliente ideale per audit energetico completo. Caldaia, pompe, illuminazione, climatizzazione.",9
,Palestre,Varese,Sporting Palestra & SPA ssdrl,"Via Cesare Correnti, 2, 21100 Varese VA, Italia",0332 812910,http://www.palestresporting.it/,"Sporting Palestra & SPA ssdrl a Varese è un centro benessere completo con palestra e spa. Consumi elevati per piscina, sauna e climatizzazione.",Tel 0332 812910. Struttura con spa e piscina. Alto potenziale di consumo energetico. Proposta per centri benessere.,9
,Palestre,Varese,Acinque Ice Arena – Palestra,"Via Francesco Albani, 33, 21100 Varese VA, Italia",,https://www.acinqueicearena.com/fitness/,Acinque Ice Arena – Palestra a Varese è una pista di ghiaccio con palestra annessa. Consumi energetici altissimi per la refrigerazione della pista.,Nessun telefono. Struttura con pista di ghiaccio = consumi enormi per refrigerazione. Cercare contatto presso Acinque o Comune di Varese.,9
,Palestre,Gavirate,"WeFit SSD | Piscina, corsi nuoto e palestra | Gavirate, Varese","Campo dei Fiori, Viale Ticino, 82, 21026 Gavirate VA, Italia",0332 839511,http://www.wefit.it/,"WeFit SSD | Piscina, corsi nuoto e palestra a Gavirate è un centro sportivo completo con piscina, corsi nuoto e palestra. Consumi energetici elevati per piscina riscaldata e climatizzazione.",Tel 0332 839511. Centro con piscina = altissimi consumi. Proposta per centri sportivi con piscina.,9
